position,gsis_id,display_name,rookie_year,college_conference,draft_number,status,team_abbr,height,weight,college_name,years_of_experience,birth_date,team_seq,player_id,season,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,fumbles_lost
RB,00-0033293,Aaron Jones,2017.0,Conference USA,182.0,ACT,MIN,69.0,208.0,Texas-El Paso,8,1994-12-02,1.0,00-0033293,2018,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,133,728.0,8,1.0,1.0,41.0,6.515641396873466,0,26,35,206.0,1,0.0,0.0,9.0,221.0,12.0,3.2120178364370577,0,-17.43939393939394,1.063677220279,0.01921708367738846,1.6089677889926721,0.0,145.4,171.4,12,0.07510729613733906,0.002128162686214235,0.13908118313404658,0.11436347435497997,0.06046375110067508,0.05263157894736842,0.07547169811320754,0.07303370786516854,0.056547665024021754,0.05889731667001375,0.44206008583690987,0.1501296335225282,1.0
RB,00-0033293,Aaron Jones,2017.0,Conference USA,182.0,ACT,MIN,69.0,208.0,Texas-El Paso,8,1994-12-02,1.0,00-0033293,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,236,1084.0,16,2.0,1.0,55.0,-1.3766320837312378,0,49,68,474.0,3,1.0,1.0,186.0,437.0,18.0,7.183671504714092,0,-9.193011804537292,1.9958991895896334,0.6043824720851005,3.41691651484402,0.0,265.8,314.8,16,0.11867364746945899,0.03708133971291866,0.21484759095378564,0.20767554297452342,0.1179985063480209,0.11538461538461539,0.09473684210526316,0.09722222222222222,0.11669156086631816,0.11747572815533981,0.8272251308900523,0.21682232691407002,2.0
RB,00-0033293,Aaron Jones,2017.0,Conference USA,182.0,ACT,MIN,69.0,208.0,Texas-El Paso,8,1994-12-02,1.0,00-0033293,2020,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,201,1104.0,9,1.0,0.0,52.0,14.435810233728262,0,47,63,355.0,2,1.0,0.0,77.0,365.0,15.0,5.729756250330705,0,26.68528532152346,2.068586698250247,0.20078186512854418,3.2434273529653517,0.0,211.9,258.90000000000003,14,0.13968957871396895,0.021580717488789238,0.18660531697341512,0.22679894206198484,0.0953020134228188,0.04878048780487805,0.08152173913043478,0.07555555555555556,0.07204125061384842,0.08599770829923065,0.7871396895787139,0.1702393477117307,0.0
RB,00-0033293,Aaron Jones,2017.0,Conference USA,182.0,ACT,MIN,69.0,208.0,Texas-El Paso,8,1994-12-02,1.0,00-0033293,2021,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,171,799.0,4,1.0,1.0,37.0,1.5054791104249756,0,52,65,391.0,6,1.0,0.0,56.0,412.0,22.0,9.132481807726744,0,-34.43906926406926,1.9825219872895394,0.32352782902435173,3.200252461251355,0.0,177.0,229.0,15,0.12380952380952381,0.013655206047305536,0.20396039603960395,0.19663845055213014,0.1010597053502197,0.1875,0.10784313725490197,0.11864406779661017,0.14427985267510984,0.11834776428017577,0.7447619047619047,0.15892182989118364,1.0
RB,00-0033293,Aaron Jones,2017.0,Conference USA,182.0,ACT,MIN,69.0,208.0,Texas-El Paso,8,1994-12-02,1.0,00-0033293,2022,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,213,1121.0,2,3.0,1.0,54.0,12.084998125123093,0,59,72,395.0,5,2.0,2.0,-16.0,477.0,19.0,-3.3152735653381518,1,1.460709612025401,2.3203332561467502,-0.007318322757929374,3.475377058289575,0.0,189.60000000000002,248.60000000000002,17,0.12788632326820604,-0.003573023671281822,0.2373134328358209,0.1889710659652836,0.10154241645244216,0.18518518518518517,0.10215053763440861,0.11267605633802817,0.14336380081881367,0.11827097019899077,0.7015985790408525,0.17313183369315413,3.0
RB,00-0033293,Aaron Jones,2017.0,Conference USA,182.0,ACT,MIN,69.0,208.0,Texas-El Paso,8,1994-12-02,1.0,00-0033293,2023,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,142,656.0,2,1.0,1.0,34.0,2.3829092331870925,0,30,43,233.0,1,1.0,0.0,-48.0,271.0,13.0,9.50120469911127,0,-14.890982404692082,1.3551729098710523,-0.20475501756852296,1.8894308525086123,0.0,104.9,134.9,11,0.11466666666666667,-0.015223596574690771,0.20437405731523378,0.15982112274024737,0.08132635253054102,0.047619047619047616,0.09219858156028368,0.08641975308641975,0.06447270007479432,0.07458489154824235,0.6213333333333333,0.1332214102310883,1.0
RB,00-0033293,Aaron Jones,2017.0,Conference USA,182.0,ACT,MIN,69.0,208.0,Texas-El Paso,8,1994-12-02,1.0,00-0033293,2024,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,255,1138.0,5,3.0,1.0,49.0,-13.446157851263338,0,51,62,408.0,2,2.0,2.0,54.0,411.0,20.0,3.297681135018966,0,-10.676289538074435,2.069369750443312,0.1497497783475827,3.2088794705082755,0.0,190.60000000000002,241.6,17,0.11313868613138686,0.011675675675675675,0.22909698996655517,0.17904856973762082,0.0931719570678237,0.05714285714285714,0.09523809523809523,0.08979591836734693,0.07515740710534043,0.0859661370828304,0.7445255474452555,0.15826433287915312,3.0
QB,00-0023459,Aaron Rodgers,2005.0,Pacific Ten Conference,24.0,ACT,PIT,74.0,225.0,California,20,1983-12-02,1.0,00-0023459,2005,9,16,65.0,0,1.0,3.0,28.0,2,2,0.0,0.0,3.0,-16.317947932111565,0,0.0,0.044906728697403794,2,7.0,0,0.0,0.0,1.0,0.11665389547124505,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-2.6999999999999997,-2.6999999999999997,3,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011763680724991284,2.0
QB,00-0023459,Aaron Rodgers,2005.0,Pacific Ten Conference,24.0,ACT,PIT,74.0,225.0,California,20,1983-12-02,1.0,00-0023459,2006,6,15,46.0,0,0.0,3.0,18.0,1,1,151.0,22.0,2.0,-15.284823548572604,0,0.8586956521739131,-0.08303089856239289,2,11.0,0,0.0,0.0,1.0,0.9624260382261127,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.94,0.94,2,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.011116367076631977,1.0
QB,00-0023459,Aaron Rodgers,2005.0,Pacific Ten Conference,24.0,ACT,PIT,74.0,225.0,California,20,1983-12-02,1.0,00-0023459,2007,20,28,218.0,1,0.0,3.0,24.0,0,0,162.0,133.0,9.0,7.166247891378589,0,1.1964285714285714,0.22218118488082625,7,29.0,0,0.0,0.0,3.0,2.5277910175500438,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,15.620000000000001,15.620000000000001,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06976328718177757,0.0
QB,00-0023459,Aaron Rodgers,2005.0,Pacific Ten Conference,24.0,ACT,PIT,74.0,225.0,California,20,1983-12-02,1.0,00-0023459,2008,341,536,4038.0,28,13.0,34.0,231.0,6,3,4844.0,1526.0,182.0,77.93465967768161,2,13.86252673980228,2.2167433911412404,56,207.0,4,4.0,0.0,21.0,6.9118860597664025,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,290.22,290.22,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20471763328301568,3.0
QB,00-0023459,Aaron Rodgers,2005.0,Pacific Ten Conference,24.0,ACT,PIT,74.0,225.0,California,20,1983-12-02,1.0,00-0023459,2009,350,541,4434.0,30,7.0,49.0,294.0,7,3,4984.0,2057.0,197.0,122.22421536294343,3,15.363255914295989,2.6279968946666425,59,304.0,5,3.0,0.0,25.0,6.453720333452854,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,343.76,343.76,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21795863503214596,3.0
QB,00-0023459,Aaron Rodgers,2005.0,Pacific Ten Conference,24.0,ACT,PIT,74.0,225.0,California,20,1983-12-02,1.0,00-0023459,2010,312,475,3922.0,28,11.0,31.0,193.0,2,0,4411.0,1777.0,183.0,116.86728530821213,0,13.43524805703684,2.5384153387501875,64,356.0,4,2.0,1.0,22.0,13.327939913832946,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,304.48,304.48,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22308515159063932,1.0
QB,00-0023459,Aaron Rodgers,2005.0,Pacific Ten Conference,24.0,ACT,PIT,74.0,225.0,California,20,1983-12-02,1.0,00-0023459,2011,342,501,4636.0,45,6.0,36.0,219.0,4,0,4549.0,2015.0,208.0,224.3149269880729,0,15.971530220680254,3.3517950789307682,60,257.0,3,0.0,0.0,18.0,3.9697368385386653,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,397.14,397.14,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23894444243890112,0.0
QB,00-0023459,Aaron Rodgers,2005.0,Pacific Ten Conference,24.0,ACT,PIT,74.0,225.0,California,20,1983-12-02,1.0,00-0023459,2012,371,552,4295.0,39,8.0,51.0,293.0,5,4,4467.0,2044.0,211.0,115.05985499440348,1,15.736083785230662,2.4320181407022763,54,259.0,2,0.0,0.0,20.0,4.818905062592968,0,1,1,-1.0,0,0.0,0.0,-6.0,5.0,0.0,-2.078287641517818,0,0.0,0.029411764705882353,-0.0196078431372549,0.030392156862745094,0.0,343.6,344.6,16,0.0017921146953405018,-0.001328609388839681,0.0023992322456813818,0.001625284531939008,-0.00023030861354214648,0.0,0.0,0.0,-0.00011515430677107324,-0.0001842468908337172,-0.0017921146953405018,0.21644640972815435,4.0
QB,00-0023459,Aaron Rodgers,2005.0,Pacific Ten Conference,24.0,ACT,PIT,74.0,225.0,California,20,1983-12-02,1.0,00-0023459,2013,193,290,2536.0,17,6.0,21.0,117.0,3,0,2364.0,1251.0,108.0,94.2014997188724,0,10.215657099389691,1.552381112344878,30,120.0,0,1.0,0.0,9.0,0.19220633391198305,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,169.44,169.44,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18379433778067034,0.0
QB,00-0023459,Aaron Rodgers,2005.0,Pacific Ten Conference,24.0,ACT,PIT,74.0,225.0,California,20,1983-12-02,1.0,00-0023459,2014,341,520,4381.0,38,5.0,28.0,174.0,7,1,4204.0,2059.0,219.0,170.94749426149733,1,18.515069579892117,3.2645628665369495,43,269.0,2,3.0,1.0,20.0,18.901571102207527,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,354.14,354.14,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21870213922237045,2.0
